"Code","Cancer","Age","Case","PY","Version","Sex"
1,"구강암, 인두암",0,0,331753,"09","male"
2,"식도암",0,0,331753,"09","male"
3,"위암",0,0,331753,"09","male"
4,"결장암",0,0,331753,"09","male"
5,"직장암",0,0,331753,"09","male"
6,"간암",0,4,331753,"09","male"
7,"담낭암",0,0,331753,"09","male"
8,"췌장암",0,1,331753,"09","male"
9,"기관지암, 폐암",0,0,331753,"09","male"
10,"비강암, 후두암, 나머지암",0,2,331753,"09","male"
11,"뼈암",0,2,331753,"09","male"
12,"결합조직암",0,6,331753,"09","male"
13,"악성흑색종",0,1,331753,"09","male"
14,"비흑색종피부암(기저세포암)",0,0,331753,"09","male"
15,"비흑색종피부암(편평세포암)",0,0,331753,"09","male"
16,"유방암(여성)",0,0,331753,"09","male"
17,"유방암(남성)",0,0,331753,"09","male"
18,"난소암",0,0,331753,"09","male"
19,"난소암 외 여성생식기암",0,0,331753,"09","male"
20,"남성생식기암",0,6,331753,"09","male"
21,"방광암",0,0,331753,"09","male"
22,"신장암, 나머지 비뇨기계암",0,2,331753,"09","male"
23,"안암",0,7,331753,"09","male"
24,"뇌암, 신경계암",0,7,331753,"09","male"
25,"갑상선암",0,0,331753,"09","male"
26,"나머지 내분비선암",0,11,331753,"09","male"
27,"나머지암, 불분명한 암",0,6,331753,"09","male"
28,"림프종, 다발성골수종",0,11,331753,"09","male"
29,"백혈병(CLL 제외)",0,20,331753,"09","male"
30,"급성림프구성백혈병",0,13,331753,"09","male"
31,"급성골수성백혈병",0,7,331753,"09","male"
32,"만성골수성백혈병",0,0,331753,"09","male"
1,"구강암, 인두암",5,0,352977,"09","male"
2,"식도암",5,0,352977,"09","male"
3,"위암",5,0,352977,"09","male"
4,"결장암",5,0,352977,"09","male"
5,"직장암",5,0,352977,"09","male"
6,"간암",5,1,352977,"09","male"
7,"담낭암",5,0,352977,"09","male"
8,"췌장암",5,0,352977,"09","male"
9,"기관지암, 폐암",5,0,352977,"09","male"
10,"비강암, 후두암, 나머지암",5,0,352977,"09","male"
11,"뼈암",5,0,352977,"09","male"
12,"결합조직암",5,1,352977,"09","male"
13,"악성흑색종",5,0,352977,"09","male"
14,"비흑색종피부암(기저세포암)",5,0,352977,"09","male"
15,"비흑색종피부암(편평세포암)",5,0,352977,"09","male"
16,"유방암(여성)",5,0,352977,"09","male"
17,"유방암(남성)",5,0,352977,"09","male"
18,"난소암",5,0,352977,"09","male"
19,"난소암 외 여성생식기암",5,0,352977,"09","male"
20,"남성생식기암",5,1,352977,"09","male"
21,"방광암",5,0,352977,"09","male"
22,"신장암, 나머지 비뇨기계암",5,0,352977,"09","male"
23,"안암",5,0,352977,"09","male"
24,"뇌암, 신경계암",5,5,352977,"09","male"
25,"갑상선암",5,0,352977,"09","male"
26,"나머지 내분비선암",5,3,352977,"09","male"
27,"나머지암, 불분명한 암",5,1,352977,"09","male"
28,"림프종, 다발성골수종",5,5,352977,"09","male"
29,"백혈병(CLL 제외)",5,9,352977,"09","male"
30,"급성림프구성백혈병",5,8,352977,"09","male"
31,"급성골수성백혈병",5,0,352977,"09","male"
32,"만성골수성백혈병",5,0,352977,"09","male"
1,"구강암, 인두암",10,0,394294,"09","male"
2,"식도암",10,0,394294,"09","male"
3,"위암",10,0,394294,"09","male"
4,"결장암",10,1,394294,"09","male"
5,"직장암",10,0,394294,"09","male"
6,"간암",10,1,394294,"09","male"
7,"담낭암",10,0,394294,"09","male"
8,"췌장암",10,0,394294,"09","male"
9,"기관지암, 폐암",10,0,394294,"09","male"
10,"비강암, 후두암, 나머지암",10,0,394294,"09","male"
11,"뼈암",10,6,394294,"09","male"
12,"결합조직암",10,1,394294,"09","male"
13,"악성흑색종",10,1,394294,"09","male"
14,"비흑색종피부암(기저세포암)",10,1,394294,"09","male"
15,"비흑색종피부암(편평세포암)",10,1,394294,"09","male"
16,"유방암(여성)",10,0,394294,"09","male"
17,"유방암(남성)",10,0,394294,"09","male"
18,"난소암",10,0,394294,"09","male"
19,"난소암 외 여성생식기암",10,0,394294,"09","male"
20,"남성생식기암",10,1,394294,"09","male"
21,"방광암",10,0,394294,"09","male"
22,"신장암, 나머지 비뇨기계암",10,1,394294,"09","male"
23,"안암",10,0,394294,"09","male"
24,"뇌암, 신경계암",10,4,394294,"09","male"
25,"갑상선암",10,0,394294,"09","male"
26,"나머지 내분비선암",10,4,394294,"09","male"
27,"나머지암, 불분명한 암",10,2,394294,"09","male"
28,"림프종, 다발성골수종",10,8,394294,"09","male"
29,"백혈병(CLL 제외)",10,9,394294,"09","male"
30,"급성림프구성백혈병",10,4,394294,"09","male"
31,"급성골수성백혈병",10,5,394294,"09","male"
32,"만성골수성백혈병",10,0,394294,"09","male"
1,"구강암, 인두암",15,4,433496,"09","male"
2,"식도암",15,0,433496,"09","male"
3,"위암",15,2,433496,"09","male"
4,"결장암",15,0,433496,"09","male"
5,"직장암",15,2,433496,"09","male"
6,"간암",15,0,433496,"09","male"
7,"담낭암",15,0,433496,"09","male"
8,"췌장암",15,0,433496,"09","male"
9,"기관지암, 폐암",15,0,433496,"09","male"
10,"비강암, 후두암, 나머지암",15,4,433496,"09","male"
11,"뼈암",15,7,433496,"09","male"
12,"결합조직암",15,2,433496,"09","male"
13,"악성흑색종",15,1,433496,"09","male"
14,"비흑색종피부암(기저세포암)",15,1,433496,"09","male"
15,"비흑색종피부암(편평세포암)",15,1,433496,"09","male"
16,"유방암(여성)",15,0,433496,"09","male"
17,"유방암(남성)",15,0,433496,"09","male"
18,"난소암",15,0,433496,"09","male"
19,"난소암 외 여성생식기암",15,0,433496,"09","male"
20,"남성생식기암",15,1,433496,"09","male"
21,"방광암",15,0,433496,"09","male"
22,"신장암, 나머지 비뇨기계암",15,0,433496,"09","male"
23,"안암",15,0,433496,"09","male"
24,"뇌암, 신경계암",15,2,433496,"09","male"
25,"갑상선암",15,2,433496,"09","male"
26,"나머지 내분비선암",15,3,433496,"09","male"
27,"나머지암, 불분명한 암",15,2,433496,"09","male"
28,"림프종, 다발성골수종",15,9,433496,"09","male"
29,"백혈병(CLL 제외)",15,15,433496,"09","male"
30,"급성림프구성백혈병",15,7,433496,"09","male"
31,"급성골수성백혈병",15,5,433496,"09","male"
32,"만성골수성백혈병",15,1,433496,"09","male"
1,"구강암, 인두암",20,7,401619,"09","male"
2,"식도암",20,0,401619,"09","male"
3,"위암",20,3,401619,"09","male"
4,"결장암",20,1,401619,"09","male"
5,"직장암",20,0,401619,"09","male"
6,"간암",20,0,401619,"09","male"
7,"담낭암",20,2,401619,"09","male"
8,"췌장암",20,1,401619,"09","male"
9,"기관지암, 폐암",20,1,401619,"09","male"
10,"비강암, 후두암, 나머지암",20,1,401619,"09","male"
11,"뼈암",20,1,401619,"09","male"
12,"결합조직암",20,4,401619,"09","male"
13,"악성흑색종",20,1,401619,"09","male"
14,"비흑색종피부암(기저세포암)",20,0,401619,"09","male"
15,"비흑색종피부암(편평세포암)",20,0,401619,"09","male"
16,"유방암(여성)",20,0,401619,"09","male"
17,"유방암(남성)",20,0,401619,"09","male"
18,"난소암",20,0,401619,"09","male"
19,"난소암 외 여성생식기암",20,0,401619,"09","male"
20,"남성생식기암",20,10,401619,"09","male"
21,"방광암",20,0,401619,"09","male"
22,"신장암, 나머지 비뇨기계암",20,1,401619,"09","male"
23,"안암",20,0,401619,"09","male"
24,"뇌암, 신경계암",20,3,401619,"09","male"
25,"갑상선암",20,2,401619,"09","male"
26,"나머지 내분비선암",20,3,401619,"09","male"
27,"나머지암, 불분명한 암",20,8,401619,"09","male"
28,"림프종, 다발성골수종",20,10,401619,"09","male"
29,"백혈병(CLL 제외)",20,17,401619,"09","male"
30,"급성림프구성백혈병",20,5,401619,"09","male"
31,"급성골수성백혈병",20,7,401619,"09","male"
32,"만성골수성백혈병",20,3,401619,"09","male"
1,"구강암, 인두암",25,3,444011,"09","male"
2,"식도암",25,0,444011,"09","male"
3,"위암",25,12,444011,"09","male"
4,"결장암",25,4,444011,"09","male"
5,"직장암",25,2,444011,"09","male"
6,"간암",25,1,444011,"09","male"
7,"담낭암",25,0,444011,"09","male"
8,"췌장암",25,0,444011,"09","male"
9,"기관지암, 폐암",25,4,444011,"09","male"
10,"비강암, 후두암, 나머지암",25,2,444011,"09","male"
11,"뼈암",25,2,444011,"09","male"
12,"결합조직암",25,2,444011,"09","male"
