"Code","Cancer","Age","Case","PY","Version","Sex"
1,"구강암, 인두암",0,9,6701505,"09","male"
2,"식도암",0,0,6701505,"09","male"
3,"위암",0,4,6701505,"09","male"
4,"결장암",0,1,6701505,"09","male"
5,"직장암",0,1,6701505,"09","male"
6,"간암",0,48,6701505,"09","male"
7,"담낭암",0,0,6701505,"09","male"
8,"췌장암",0,3,6701505,"09","male"
9,"기관지암, 폐암",0,4,6701505,"09","male"
10,"비강암, 후두암, 나머지암",0,29,6701505,"09","male"
11,"뼈암",0,11,6701505,"09","male"
12,"결합조직암",0,52,6701505,"09","male"
13,"악성흑색종",0,0,6701505,"09","male"
14,"비흑색종피부암(기저세포암)",0,1,6701505,"09","male"
15,"비흑색종피부암(편평세포암)",0,1,6701505,"09","male"
16,"유방암(여성)",0,0,6701505,"09","male"
17,"유방암(남성)",0,0,6701505,"09","male"
18,"난소암",0,0,6701505,"09","male"
19,"난소암 외 여성생식기암",0,0,6701505,"09","male"
20,"남성생식기암",0,79,6701505,"09","male"
21,"방광암",0,6,6701505,"09","male"
22,"신장암, 나머지 비뇨기계암",0,71,6701505,"09","male"
23,"안암",0,93,6701505,"09","male"
24,"뇌암, 신경계암",0,147,6701505,"09","male"
25,"갑상선암",0,0,6701505,"09","male"
26,"나머지 내분비선암",0,118,6701505,"09","male"
27,"나머지암, 불분명한 암",0,47,6701505,"09","male"
28,"림프종, 다발성골수종",0,74,6701505,"09","male"
29,"백혈병(CLL 제외)",0,398,6701505,"09","male"
30,"급성림프구성백혈병",0,286,6701505,"09","male"
31,"급성골수성백혈병",0,95,6701505,"09","male"
32,"만성골수성백혈병",0,20,6701505,"09","male"
1,"구강암, 인두암",5,4,7504030,"09","male"
2,"식도암",5,0,7504030,"09","male"
3,"위암",5,1,7504030,"09","male"
4,"결장암",5,1,7504030,"09","male"
5,"직장암",5,0,7504030,"09","male"
6,"간암",5,11,7504030,"09","male"
7,"담낭암",5,0,7504030,"09","male"
8,"췌장암",5,3,7504030,"09","male"
9,"기관지암, 폐암",5,2,7504030,"09","male"
10,"비강암, 후두암, 나머지암",5,4,7504030,"09","male"
11,"뼈암",5,46,7504030,"09","male"
12,"결합조직암",5,26,7504030,"09","male"
13,"악성흑색종",5,2,7504030,"09","male"
14,"비흑색종피부암(기저세포암)",5,6,7504030,"09","male"
15,"비흑색종피부암(편평세포암)",5,6,7504030,"09","male"
16,"유방암(여성)",5,0,7504030,"09","male"
17,"유방암(남성)",5,0,7504030,"09","male"
18,"난소암",5,0,7504030,"09","male"
19,"난소암 외 여성생식기암",5,0,7504030,"09","male"
20,"남성생식기암",5,7,7504030,"09","male"
21,"방광암",5,1,7504030,"09","male"
22,"신장암, 나머지 비뇨기계암",5,10,7504030,"09","male"
23,"안암",5,6,7504030,"09","male"
24,"뇌암, 신경계암",5,127,7504030,"09","male"
25,"갑상선암",5,4,7504030,"09","male"
26,"나머지 내분비선암",5,28,7504030,"09","male"
27,"나머지암, 불분명한 암",5,32,7504030,"09","male"
28,"림프종, 다발성골수종",5,95,7504030,"09","male"
29,"백혈병(CLL 제외)",5,297,7504030,"09","male"
30,"급성림프구성백혈병",5,209,7504030,"09","male"
31,"급성골수성백혈병",5,73,7504030,"09","male"
32,"만성골수성백혈병",5,16,7504030,"09","male"
1,"구강암, 인두암",10,16,6733458,"09","male"
2,"식도암",10,0,6733458,"09","male"
3,"위암",10,4,6733458,"09","male"
4,"결장암",10,6,6733458,"09","male"
5,"직장암",10,2,6733458,"09","male"
6,"간암",10,10,6733458,"09","male"
7,"담낭암",10,0,6733458,"09","male"
8,"췌장암",10,1,6733458,"09","male"
9,"기관지암, 폐암",10,8,6733458,"09","male"
10,"비강암, 후두암, 나머지암",10,11,6733458,"09","male"
11,"뼈암",10,78,6733458,"09","male"
12,"결합조직암",10,24,6733458,"09","male"
13,"악성흑색종",10,1,6733458,"09","male"
14,"비흑색종피부암(기저세포암)",10,7,6733458,"09","male"
15,"비흑색종피부암(편평세포암)",10,7,6733458,"09","male"
16,"유방암(여성)",10,0,6733458,"09","male"
17,"유방암(남성)",10,0,6733458,"09","male"
18,"난소암",10,0,6733458,"09","male"
19,"난소암 외 여성생식기암",10,0,6733458,"09","male"
20,"남성생식기암",10,10,6733458,"09","male"
21,"방광암",10,0,6733458,"09","male"
22,"신장암, 나머지 비뇨기계암",10,0,6733458,"09","male"
23,"안암",10,4,6733458,"09","male"
24,"뇌암, 신경계암",10,111,6733458,"09","male"
25,"갑상선암",10,8,6733458,"09","male"
26,"나머지 내분비선암",10,33,6733458,"09","male"
27,"나머지암, 불분명한 암",10,24,6733458,"09","male"
28,"림프종, 다발성골수종",10,90,6733458,"09","male"
29,"백혈병(CLL 제외)",10,224,6733458,"09","male"
30,"급성림프구성백혈병",10,127,6733458,"09","male"
31,"급성골수성백혈병",10,78,6733458,"09","male"
32,"만성골수성백혈병",10,21,6733458,"09","male"
1,"구강암, 인두암",15,23,7676005,"09","male"
2,"식도암",15,0,7676005,"09","male"
3,"위암",15,30,7676005,"09","male"
4,"결장암",15,14,7676005,"09","male"
5,"직장암",15,8,7676005,"09","male"
6,"간암",15,23,7676005,"09","male"
7,"담낭암",15,1,7676005,"09","male"
8,"췌장암",15,2,7676005,"09","male"
