"Sex","Cancer","Age","Case","PY"
1,1,1,16,143260
1,1,2,17,146182
1,1,3,11,142839
1,1,4,18,157238
1,1,5,35,163393
1,1,6,64,194106
1,1,7,131,240588
1,1,8,159,207694
1,1,9,247,184759
1,1,10,530,170386
1,1,11,1078,189268
1,1,12,2182,232000
1,1,13,2645,182011
1,1,14,3142,139713
1,1,15,3754,109310
1,1,16,3356,80619
1,1,17,2083,45317
1,1,18,1536,31662
1,1,19,0,0
2,1,1,23,136692
2,1,2,9,139552
2,1,3,13,135388
2,1,4,22,149483
2,1,5,38,171368
2,1,6,80,204692
2,1,7,210,250817
2,1,8,390,212823
2,1,9,513,186976
2,1,10,751,174028
2,1,11,1114,192445
2,1,12,1586,237592
2,1,13,1528,193253
2,1,14,1627,151545
2,1,15,1898,134277
2,1,16,1881,110566
2,1,17,1505,81596
2,1,18,1784,84117
2,1,19,1,0
1,2,1,16,143260
1,2,2,17,146182
1,2,3,11,142839
1,2,4,18,157238
1,2,5,35,163393
1,2,6,64,194106
1,2,7,128,240588
1,2,8,155,207694
1,2,9,245,184759
1,2,10,524,170386
1,2,11,1065,189268
1,2,12,2149,232000
1,2,13,2611,182011
1,2,14,3113,139713
1,2,15,3684,109310
1,2,16,3294,80619
1,2,17,2043,45317
1,2,18,1483,31662
1,2,19,0,0
2,2,1,23,136692
2,2,2,9,139552
2,2,3,13,135388
2,2,4,22,149483
2,2,5,36,171368
2,2,6,79,204692
2,2,7,207,250817
2,2,8,385,212823
2,2,9,509,186976
2,2,10,745,174028
2,2,11,1106,192445
2,2,12,1577,237592
2,2,13,1514,193253
2,2,14,1608,151545
2,2,15,1857,134277
2,2,16,1835,110566
2,2,17,1474,81596
2,2,18,1698,84117
2,2,19,1,0
1,3,1,0,143260
1,3,2,0,146182
1,3,3,0,142839
1,3,4,1,157238
1,3,5,1,163393
1,3,6,2,194106
1,3,7,9,240588
1,3,8,9,207694
1,3,9,9,184759
1,3,10,12,170386
1,3,11,44,189268
1,3,12,70,232000
1,3,13,79,182011
1,3,14,72,139713
1,3,15,67,109310
1,3,16,46,80619
1,3,17,31,45317
1,3,18,20,31662
1,3,19,0,0
2,3,1,0,136692
2,3,2,0,139552
2,3,3,0,135388
2,3,4,1,149483
2,3,5,2,171368
2,3,6,3,204692
2,3,7,4,250817
2,3,8,5,212823
2,3,9,9,186976
2,3,10,10,174028
2,3,11,10,192445
2,3,12,17,237592
2,3,13,12,193253
2,3,14,21,151545
2,3,15,19,134277
2,3,16,30,110566
2,3,17,23,81596
2,3,18,20,84117
2,3,19,0,0
1,4,1,0,143260
1,4,2,0,146182
1,4,3,0,142839
1,4,4,0,157238
1,4,5,0,163393
1,4,6,0,194106
1,4,7,0,240588
1,4,8,0,207694
1,4,9,0,184759
1,4,10,0,170386
1,4,11,0,189268
1,4,12,0,232000
1,4,13,0,182011
1,4,14,0,139713
1,4,15,0,109310
1,4,16,1,80619
1,4,17,1,45317
1,4,18,0,31662
1,4,19,0,0
2,4,1,0,136692
2,4,2,0,139552
2,4,3,0,135388
2,4,4,0,149483
2,4,5,0,171368
2,4,6,0,204692
2,4,7,0,250817
2,4,8,0,212823
2,4,9,0,186976
2,4,10,0,174028
2,4,11,0,192445
2,4,12,0,237592
2,4,13,1,193253
2,4,14,0,151545
2,4,15,1,134277
2,4,16,0,110566
2,4,17,0,81596
2,4,18,1,84117
2,4,19,0,0
1,5,1,0,143260
1,5,2,0,146182
1,5,3,0,142839
1,5,4,0,157238
1,5,5,0,163393
1,5,6,1,194106
1,5,7,4,240588
1,5,8,2,207694
1,5,9,4,184759
1,5,10,4,170386
1,5,11,10,189268
