"Sex","Cancer","Age","Case","PY"
1,1,1,1323,6655812
1,1,2,868,8598995
1,1,3,1067,9263734
1,1,4,1279,8375867
1,1,5,1699,9705747
1,1,6,2721,10095552
1,1,7,5323,11225177
1,1,8,9365,11262082
1,1,9,17393,11043758
1,1,10,28918,10067169
1,1,11,36535,7231868
1,1,12,45064,5541349
1,1,13,58440,4722669
1,1,14,66711,3753695
1,1,15,54586,2329646
1,1,16,34813,1257889
1,1,17,18777,654160
1,1,18,7804,307038
1,1,19,0,0
2,1,1,1073,6122426
2,1,2,610,7790860
2,1,3,855,8179255
2,1,4,1253,7590641
2,1,5,2848,9127892
2,1,6,6273,9662183
2,1,7,13048,10790890
2,1,8,20456,10859221
2,1,9,30857,10542705
2,1,10,39331,9778195
2,1,11,33766,7160051
2,1,12,30820,5654049
2,1,13,33189,5247731
2,1,14,34713,4648408
2,1,15,32151,3522098
2,1,16,25747,2382194
2,1,17,16682,1422943
2,1,18,9664,920211
2,1,19,5,0
1,2,1,1317,6655812
1,2,2,864,8598995
1,2,3,1058,9263734
1,2,4,1261,8375867
1,2,5,1670,9705747
1,2,6,2678,10095552
1,2,7,5233,11225177
1,2,8,9260,11262082
1,2,9,17233,11043758
1,2,10,28618,10067169
1,2,11,36215,7231868
1,2,12,44649,5541349
1,2,13,57918,4722669
1,2,14,66057,3753695
1,2,15,53915,2329646
1,2,16,34366,1257889
1,2,17,18507,654160
1,2,18,7614,307038
1,2,19,0,0
2,2,1,1072,6122426
2,2,2,606,7790860
2,2,3,841,8179255
2,2,4,1240,7590641
2,2,5,2822,9127892
2,2,6,6226,9662183
2,2,7,12964,10790890
2,2,8,20357,10859221
2,2,9,30738,10542705
2,2,10,39130,9778195
2,2,11,33496,7160051
2,2,12,30484,5654049
2,2,13,32689,5247731
2,2,14,33972,4648408
2,2,15,31276,3522098
2,2,16,24874,2382194
2,2,17,15935,1422943
2,2,18,9105,920211
2,2,19,5,0
1,3,1,4,6655812
1,3,2,6,8598995
1,3,3,21,9263734
1,3,4,33,8375867
1,3,5,60,9705747
1,3,6,96,10095552
1,3,7,139,11225177
1,3,8,258,11262082
1,3,9,465,11043758
1,3,10,762,10067169
1,3,11,925,7231868
1,3,12,1027,5541349
1,3,13,1305,4722669
1,3,14,1294,3753695
1,3,15,981,2329646
1,3,16,487,1257889
1,3,17,251,654160
1,3,18,96,307038
1,3,19,0,0
2,3,1,2,6122426
2,3,2,15,7790860
2,3,3,20,8179255
2,3,4,23,7590641
2,3,5,51,9127892
2,3,6,79,9662183
2,3,7,126,10790890
2,3,8,152,10859221
2,3,9,234,10542705
2,3,10,302,9778195
2,3,11,296,7160051
2,3,12,266,5654049
2,3,13,290,5247731
2,3,14,326,4648408
2,3,15,279,3522098
2,3,16,224,2382194
2,3,17,150,1422943
2,3,18,88,920211
2,3,19,0,0
1,4,1,0,6655812
1,4,2,0,8598995
1,4,3,0,9263734
1,4,4,0,8375867
1,4,5,0,9705747
1,4,6,0,10095552
1,4,7,1,11225177
1,4,8,4,11262082
1,4,9,5,11043758
1,4,10,5,10067169
1,4,11,7,7231868
1,4,12,16,5541349
1,4,13,23,4722669
1,4,14,22,3753695
1,4,15,22,2329646
1,4,16,12,1257889
1,4,17,4,654160
1,4,18,6,307038
1,4,19,0,0
2,4,1,0,6122426
2,4,2,0,7790860
2,4,3,0,8179255
2,4,4,0,7590641
2,4,5,0,9127892
2,4,6,1,9662183
2,4,7,0,10790890
2,4,8,1,10859221
2,4,9,1,10542705
2,4,10,3,9778195
2,4,11,2,7160051
2,4,12,4,5654049
2,4,13,7,5247731
2,4,14,10,4648408
2,4,15,11,3522098
2,4,16,12,2382194
2,4,17,5,1422943
2,4,18,7,920211
2,4,19,0,0
1,5,1,0,6655812
1,5,2,0,8598995
1,5,3,1,9263734
1,5,4,4,8375867
1,5,5,8,9705747
1,5,6,26,10095552
1,5,7,36,11225177
1,5,8,54,11262082
1,5,9,103,11043758
1,5,10,143,10067169
1,5,11,193,7231868
1,5,12,173,5541349
1,5,13,224,4722669
1,5,14,200,3753695
1,5,15,132,2329646
1,5,16,77,1257889
1,5,17,35,654160
1,5,18,13,307038
1,5,19,0,0
2,5,1,2,6122426
2,5,2,1,7790860
2,5,3,1,8179255
2,5,4,2,7590641
2,5,5,10,9127892
2,5,6,22,9662183
2,5,7,34,10790890
2,5,8,38,10859221
2,5,9,49,10542705
2,5,10,65,9778195
2,5,11,64,7160051
2,5,12,57,5654049
2,5,13,69,5247731
2,5,14,79,4648408
2,5,15,91,3522098
2,5,16,54,2382194
2,5,17,37,1422943
2,5,18,20,920211
2,5,19,0,0
1,6,1,0,6655812
1,6,2,0,8598995
1,6,3,0,9263734
1,6,4,1,8375867
1,6,5,0,9705747
1,6,6,4,10095552
1,6,7,3,11225177
1,6,8,4,11262082
1,6,9,20,11043758
1,6,10,28,10067169
1,6,11,48,7231868
1,6,12,44,5541349
1,6,13,65,4722669
1,6,14,67,3753695
1,6,15,37,2329646
1,6,16,24,1257889
1,6,17,12,654160
1,6,18,1,307038
1,6,19,0,0
2,6,1,1,6122426
2,6,2,0,7790860
2,6,3,0,8179255
2,6,4,0,7590641
2,6,5,2,9127892
2,6,6,1,9662183
2,6,7,2,10790890
2,6,8,2,10859221
2,6,9,8,10542705
2,6,10,5,9778195
2,6,11,7,7160051
2,6,12,13,5654049
2,6,13,9,5247731
2,6,14,5,4648408
2,6,15,11,3522098
2,6,16,5,2382194
2,6,17,3,1422943
2,6,18,3,920211
2,6,19,0,0
1,7,1,0,6655812
1,7,2,0,8598995
1,7,3,1,9263734
1,7,4,3,8375867
1,7,5,8,9705747
1,7,6,22,10095552
1,7,7,33,11225177
1,7,8,50,11262082
1,7,9,83,11043758
1,7,10,115,10067169
1,7,11,145,7231868
1,7,12,129,5541349
1,7,13,159,4722669
1,7,14,133,3753695
1,7,15,95,2329646
1,7,16,53,1257889
1,7,17,23,654160
1,7,18,12,307038
1,7,19,0,0
2,7,1,1,6122426
2,7,2,1,7790860
2,7,3,1,8179255
2,7,4,2,7590641
2,7,5,8,9127892
2,7,6,21,9662183
2,7,7,32,10790890
2,7,8,36,10859221
2,7,9,41,10542705
2,7,10,60,9778195
2,7,11,57,7160051
2,7,12,44,5654049
2,7,13,60,5247731
2,7,14,74,4648408
2,7,15,80,3522098
2,7,16,49,2382194
2,7,17,34,1422943
2,7,18,17,920211
2,7,19,0,0
1,8,1,1,6655812
1,8,2,2,8598995
1,8,3,1,9263734
1,8,4,3,8375867
1,8,5,6,9705747
1,8,6,11,10095552
1,8,7,18,11225177
1,8,8,37,11262082
1,8,9,55,11043758
1,8,10,97,10067169
1,8,11,145,7231868
1,8,12,181,5541349
1,8,13,201,4722669
1,8,14,251,3753695
1,8,15,203,2329646
1,8,16,106,1257889
1,8,17,63,654160
1,8,18,23,307038
1,8,19,0,0
2,8,1,0,6122426
2,8,2,4,7790860
2,8,3,8,8179255
2,8,4,2,7590641
2,8,5,6,9127892
2,8,6,10,9662183
2,8,7,17,10790890
2,8,8,31,10859221
2,8,9,34,10542705
2,8,10,50,9778195
2,8,11,59,7160051
2,8,12,56,5654049
2,8,13,69,5247731
