"Sex","Cancer","Age","Case","PY"
1,1,1,20,150117
1,1,2,10,162752
1,1,3,12,182820
1,1,4,29,175331
1,1,5,33,148497
1,1,6,45,167863
1,1,7,91,190927
1,1,8,146,214001
1,1,9,238,203302
1,1,10,499,209245
1,1,11,1083,234433
1,1,12,2289,275263
1,1,13,3596,273099
1,1,14,4085,197596
1,1,15,5362,185939
1,1,16,5990,164562
1,1,17,4534,114258
1,1,18,2982,75378
1,1,19,0,0
2,1,1,19,143800
2,1,2,14,155840
2,1,3,18,174035
2,1,4,21,170466
2,1,5,31,158539
2,1,6,99,177253
2,1,7,209,200856
2,1,8,379,227309
2,1,9,604,222142
2,1,10,892,225296
2,1,11,1223,247852
2,1,12,1855,286215
2,1,13,2178,291631
2,1,14,2145,238433
2,1,15,2588,240090
2,1,16,3218,232774
2,1,17,3066,196259
2,1,18,4134,213970
2,1,19,0,0
1,2,1,20,150117
1,2,2,10,162752
1,2,3,10,182820
1,2,4,28,175331
1,2,5,33,148497
1,2,6,43,167863
1,2,7,87,190927
1,2,8,137,214001
1,2,9,235,203302
1,2,10,488,209245
1,2,11,1066,234433
1,2,12,2253,275263
1,2,13,3538,273099
1,2,14,4030,197596
1,2,15,5266,185939
1,2,16,5855,164562
1,2,17,4405,114258
1,2,18,2834,75378
1,2,19,0,0
2,2,1,19,143800
2,2,2,14,155840
2,2,3,18,174035
2,2,4,20,170466
2,2,5,30,158539
2,2,6,98,177253
2,2,7,203,200856
2,2,8,376,227309
2,2,9,600,222142
2,2,10,879,225296
2,2,11,1212,247852
2,2,12,1824,286215
2,2,13,2140,291631
2,2,14,2093,238433
2,2,15,2523,240090
2,2,16,3094,232774
2,2,17,2918,196259
2,2,18,3766,213970
2,2,19,0,0
1,3,1,0,150117
1,3,2,0,162752
1,3,3,0,182820
1,3,4,0,175331
1,3,5,0,148497
1,3,6,0,167863
1,3,7,0,190927
1,3,8,0,214001
1,3,9,0,203302
1,3,10,0,209245
1,3,11,1,234433
1,3,12,0,275263
1,3,13,0,273099
1,3,14,0,197596
1,3,15,2,185939
1,3,16,0,164562
1,3,17,1,114258
1,3,18,0,75378
1,3,19,0,0
2,3,1,0,143800
2,3,2,0,155840
2,3,3,0,174035
2,3,4,0,170466
2,3,5,0,158539
