"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",0,0,0,1,1,6,7,7,17,18,26,31,33,44,43,45,34,34
2,"식도암",0,0,0,0,0,0,1,1,2,11,23,15,21,29,45,26,25,30
3,"위암",0,0,0,0,3,12,24,61,96,192,258,247,332,469,575,663,491,530
4,"결장암",0,0,0,0,2,3,15,22,44,104,184,219,282,396,507,480,411,398
5,"직장암",0,0,0,1,1,5,6,15,35,69,123,130,160,226,208,209,157,149
6,"간암",3,1,0,1,1,0,2,1,8,21,43,96,165,274,344,251,181,173
7,"담낭암",0,0,0,1,0,1,1,3,12,16,26,54,71,114,161,219,202,249
8,"췌장암",0,0,0,0,0,1,1,2,8,21,34,60,74,106,135,170,164,169
9,"기관지암, 폐암",0,1,0,2,0,0,2,12,26,69,136,145,221,298,396,417,303,300
10,"비강암, 후두암, 나머지암",3,0,0,3,1,1,2,3,2,7,9,13,16,26,17,18,8,11
11,"뼈암",2,0,1,1,3,2,0,0,0,2,1,3,2,3,1,1,3,2
12,"결합조직암",5,0,1,1,4,3,5,4,2,9,10,3,7,12,14,7,4,5
13,"악성흑색종",0,0,0,0,0,1,1,7,6,4,5,5,4,8,1,9,5,13
14,"비흑색종피부암(기저세포암)",0,0,1,1,1,4,5,8,7,25,23,32,44,65,82,139,139,244
15,"비흑색종피부암(편평세포암)",0,0,1,1,1,4,5,8,7,25,23,32,44,65,82,139,139,244
16,"유방암(여성)",0,0,0,0,7,18,86,197,374,669,602,475,474,420,360,254,172,144
17,"유방암(남성)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"난소암",0,2,2,7,23,14,16,31,44,91,104,83,78,72,64,52,42,34
19,"난소암 외 여성생식기암",1,0,0,0,4,46,115,141,157,232,286,213,189,212,158,142,114,124
20,"남성생식기암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"방광암",1,0,0,0,0,0,0,6,7,5,14,29,33,53,80,99,79,92
22,"신장암, 나머지 비뇨기계암",1,0,0,1,2,3,2,4,10,24,19,25,40,69,64,84,55,48
23,"안암",7,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
24,"뇌암, 신경계암",8,6,5,2,4,5,5,3,4,9,11,14,19,14,21,11,6,5
25,"갑상선암",0,0,2,5,20,31,35,53,67,106,123,111,86,92,91,64,37,22
26,"나머지 내분비선암",7,1,1,1,0,1,1,0,2,3,2,0,3,1,1,2,0,1
27,"나머지암, 불분명한 암",7,0,0,3,3,7,1,6,7,15,35,32,45,61,75,78,90,120
28,"림프종, 다발성골수종",6,5,6,1,6,5,7,14,24,44,59,78,90,119,123,128,108,108
29,"백혈병(CLL 제외)",14,10,7,5,10,6,11,10,15,27,35,43,54,59,93,79,50,52
30,"급성림프구성백혈병",7,8,6,1,3,2,2,0,0,3,5,4,7,10,9,4,1,9
31,"급성골수성백혈병",5,1,0,4,5,1,7,4,8,13,8,16,12,18,24,28,13,24
32,"만성골수성백혈병",1,0,0,0,1,0,0,3,1,0,2,5,2,4,8,5,6,5
