"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",0,0,0,4,7,3,7,14,23,56,88,97,117,153,156,77,41,36
2,"식도암",0,0,0,0,0,0,0,0,12,45,101,160,206,235,241,148,77,51
3,"위암",0,0,0,2,3,12,25,64,145,326,552,730,960,1283,1495,1120,661,443
4,"결장암",0,0,1,0,1,4,12,28,56,115,211,280,401,592,663,524,322,221
5,"직장암",0,0,0,2,0,2,16,24,38,123,212,263,306,387,391,278,151,117
6,"간암",4,1,1,0,0,1,5,13,47,133,239,366,540,832,648,407,197,121
7,"담낭암",0,0,0,0,2,0,3,2,4,21,36,58,96,120,145,137,128,81
8,"췌장암",1,0,0,0,1,0,2,4,11,43,72,81,109,164,225,168,126,95
9,"기관지암, 폐암",0,0,0,0,1,4,8,30,56,143,235,310,524,874,1283,1022,670,452
10,"비강암, 후두암, 나머지암",2,0,0,4,1,2,4,6,5,27,57,56,97,131,101,68,48,27
11,"뼈암",2,0,6,7,1,2,3,3,1,3,2,2,2,2,4,0,0,0
12,"결합조직암",6,1,1,2,4,2,1,1,1,10,10,12,8,12,11,10,14,8
13,"악성흑색종",1,0,1,1,1,1,3,3,0,1,4,9,8,6,2,2,8,2
14,"비흑색종피부암(기저세포암)",0,0,1,1,0,1,5,5,13,20,31,40,69,111,120,120,91,109
15,"비흑색종피부암(편평세포암)",0,0,1,1,0,1,5,5,13,20,31,40,69,111,120,120,91,109
16,"유방암(여성)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"유방암(남성)",0,0,0,0,0,0,0,1,2,0,0,1,3,5,2,2,3,4
18,"난소암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"난소암 외 여성생식기암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"남성생식기암",6,1,1,1,10,22,28,22,16,12,34,96,226,471,671,594,438,326
21,"방광암",0,0,0,0,0,1,6,7,15,45,94,138,177,241,335,277,191,142
22,"신장암, 나머지 비뇨기계암",2,0,1,0,1,2,9,3,28,56,95,75,101,141,159,143,77,35
23,"안암",7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
24,"뇌암, 신경계암",7,5,4,2,3,10,6,5,12,11,14,7,19,26,21,12,11,1
25,"갑상선암",0,0,0,2,2,3,8,6,14,10,28,22,24,30,28,19,10,9
26,"나머지 내분비선암",11,3,4,3,3,0,1,3,1,1,2,1,2,1,1,1,1,1
27,"나머지암, 불분명한 암",6,1,2,2,8,2,5,2,7,29,47,64,71,110,147,109,90,73
28,"림프종, 다발성골수종",11,5,8,9,10,8,6,19,17,51,77,71,114,146,178,141,86,69
29,"백혈병(CLL 제외)",20,9,9,15,17,16,15,19,10,38,51,45,71,105,108,99,52,36
30,"급성림프구성백혈병",13,8,4,7,5,5,1,1,1,4,5,5,7,7,2,7,4,5
31,"급성골수성백혈병",7,0,5,5,7,5,7,8,5,12,13,13,27,38,42,47,27,17
32,"만성골수성백혈병",0,0,0,1,3,4,5,3,1,5,9,6,6,11,10,12,6,1
