"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",0,0,1,2,3,6,9,16,22,48,106,155,156,176,193,148,89,48
2,"식도암",0,0,0,0,0,0,0,1,7,48,96,226,263,264,244,222,110,74
3,"위암",0,0,0,2,5,17,24,43,94,211,447,846,1021,1249,1515,1438,966,631
4,"결장암",0,1,0,0,1,5,15,34,50,80,226,417,523,687,873,706,488,380
5,"직장암",0,0,0,1,1,2,14,24,50,98,216,371,402,422,442,371,213,157
6,"간암",3,0,0,0,1,0,6,17,39,93,234,363,484,603,790,645,343,197
7,"담낭암",0,0,0,0,0,0,1,4,7,9,38,58,84,123,153,181,168,158
8,"췌장암",0,0,0,0,0,0,1,4,12,26,81,128,141,185,229,248,167,120
9,"기관지암, 폐암",0,0,0,2,1,5,8,30,38,122,251,523,659,878,1309,1508,1057,669
10,"비강암, 후두암, 나머지암",1,0,0,2,2,3,9,6,8,18,35,95,86,123,107,99,44,29
11,"뼈암",0,0,3,6,1,1,1,4,0,2,3,6,4,4,5,5,2,1
12,"결합조직암",0,1,0,4,1,4,4,4,1,7,4,14,18,19,16,22,16,9
13,"악성흑색종",1,0,0,1,0,1,0,2,0,3,7,3,6,12,9,9,5,1
14,"비흑색종피부암(기저세포암)",0,0,0,1,2,2,7,8,8,17,31,59,76,87,192,172,138,164
15,"비흑색종피부암(편평세포암)",0,0,0,1,2,2,7,8,8,17,31,59,76,87,192,172,138,164
16,"유방암(여성)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"유방암(남성)",0,0,0,0,0,1,0,0,0,0,2,5,4,5,7,10,9,0
18,"난소암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"난소암 외 여성생식기암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"남성생식기암",4,0,0,1,6,21,28,20,31,23,110,272,625,1058,1693,1601,870,557
21,"방광암",0,0,0,1,3,0,3,8,23,44,98,203,210,318,452,471,337,254
22,"신장암, 나머지 비뇨기계암",3,0,0,0,1,5,7,19,28,51,104,176,123,160,228,184,124,57
23,"안암",4,0,0,0,0,0,0,1,0,0,1,0,3,0,1,1,2,4
24,"뇌암, 신경계암",3,7,2,5,7,8,11,12,17,17,18,21,27,33,22,25,9,6
25,"갑상선암",0,0,0,1,4,14,14,15,13,27,40,65,54,47,43,40,19,9
26,"나머지 내분비선암",3,1,2,2,6,0,3,1,0,1,1,2,0,0,3,0,1,2
27,"나머지암, 불분명한 암",2,3,3,6,8,11,8,9,7,15,55,75,97,125,188,212,178,138
28,"림프종, 다발성골수종",2,5,2,2,8,5,20,16,39,58,94,129,148,192,231,254,169,124
29,"백혈병(CLL 제외)",14,10,11,5,11,19,16,20,33,29,50,71,89,101,135,128,102,51
30,"급성림프구성백혈병",9,6,6,3,7,0,3,5,4,5,7,6,5,7,13,5,7,6
31,"급성골수성백혈병",2,4,3,0,5,12,8,4,15,13,12,31,37,41,70,55,43,27
32,"만성골수성백혈병",2,1,0,1,1,5,2,5,2,0,5,6,3,9,13,12,13,4
