"Code","Cancer","Age_0","Age_5","Age_10","Age_15","Age_20","Age_25","Age_30","Age_35","Age_40","Age_45","Age_50","Age_55","Age_60","Age_65","Age_70","Age_75","Age_80","Age_85"
1,"구강암, 인두암",0,0,1,1,1,3,21,16,15,38,40,75,95,83,117,122,126,176
2,"식도암",0,0,0,0,1,0,0,1,10,19,21,57,75,84,66,75,55,108
3,"위암",0,0,0,0,4,9,30,50,85,162,275,439,620,730,1024,1158,1191,1585
4,"결장암",0,0,0,1,3,6,16,58,67,130,227,445,703,752,894,1158,1139,1588
5,"직장암",0,0,0,0,1,8,12,27,66,92,166,254,358,390,402,393,338,448
6,"간암",7,1,0,0,1,1,2,12,7,19,56,119,243,352,517,711,632,688
7,"담낭암",0,0,0,0,0,0,1,6,11,8,23,65,115,148,220,318,369,742
8,"췌장암",0,0,0,1,0,0,2,4,14,29,62,108,207,283,326,442,503,724
9,"기관지암, 폐암",0,0,0,0,1,4,10,33,49,91,189,398,700,787,942,1073,1000,1235
10,"비강암, 후두암, 나머지암",3,1,0,1,2,1,5,6,7,6,15,15,43,28,29,41,23,39
11,"뼈암",0,1,3,5,1,4,4,7,3,3,9,7,4,10,6,4,5,8
12,"결합조직암",1,1,2,2,3,3,5,6,10,11,8,15,24,17,18,27,35,36
13,"악성흑색종",0,0,0,2,0,3,3,5,2,0,6,5,17,10,11,16,21,26
14,"비흑색종피부암(기저세포암)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"비흑색종피부암(편평세포암)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"유방암(여성)",0,0,0,1,9,46,185,458,890,1205,1226,1453,1759,1383,1126,934,725,739
17,"유방암(남성)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"난소암",0,3,7,16,16,26,39,52,84,135,198,194,186,137,123,111,99,106
19,"난소암 외 여성생식기암",0,0,0,1,12,77,188,254,333,357,443,515,529,358,341,339,251,321
20,"남성생식기암",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"방광암",1,0,0,0,2,1,3,5,7,13,32,79,102,141,217,259,275,381
22,"신장암, 나머지 비뇨기계암",6,1,0,1,0,3,4,15,20,25,54,110,143,146,184,206,213,239
23,"안암",7,0,1,0,0,0,0,1,1,1,0,1,0,2,0,3,0,3
24,"뇌암, 신경계암",7,9,3,2,5,11,6,14,15,13,19,22,38,37,42,42,30,21
25,"갑상선암",0,0,2,10,38,60,96,144,174,197,258,308,381,296,285,219,130,88
26,"나머지 내분비선암",3,0,0,2,1,0,0,2,0,3,1,2,0,3,2,2,5,4
27,"나머지암, 불분명한 암",11,5,1,7,10,28,15,21,34,71,97,146,237,291,349,538,689,1339
28,"림프종, 다발성골수종",1,7,3,7,7,10,20,29,49,71,110,198,292,299,388,481,420,469
29,"백혈병(CLL 제외)",23,17,13,16,11,7,13,21,24,28,31,62,97,97,96,146,150,195
30,"급성림프구성백혈병",10,13,12,9,2,2,4,2,3,7,2,11,10,8,3,12,15,30
31,"급성골수성백혈병",11,4,3,7,10,2,5,13,12,14,12,26,33,46,49,64,82,116
32,"만성골수성백혈병",0,1,0,1,0,2,3,4,4,6,8,6,11,8,8,16,18,16
