"Code","Cancer","Age","Case","PY"
1,"구강암, 인두암",0,0,331753
2,"식도암",0,0,331753
3,"위암",0,0,331753
4,"결장암",0,0,331753
5,"직장암",0,0,331753
6,"간암",0,4,331753
7,"담낭암",0,0,331753
8,"췌장암",0,1,331753
9,"기관지암, 폐암",0,0,331753
10,"비강암, 후두암, 나머지암",0,2,331753
11,"뼈암",0,2,331753
12,"결합조직암",0,6,331753
13,"악성흑색종",0,1,331753
14,"비흑색종피부암(기저세포암)",0,0,331753
15,"비흑색종피부암(편평세포암)",0,0,331753
16,"유방암(여성)",0,0,331753
17,"유방암(남성)",0,0,331753
18,"난소암",0,0,331753
19,"난소암 외 여성생식기암",0,0,331753
20,"남성생식기암",0,6,331753
21,"방광암",0,0,331753
22,"신장암, 나머지 비뇨기계암",0,2,331753
23,"안암",0,7,331753
24,"뇌암, 신경계암",0,7,331753
25,"갑상선암",0,0,331753
26,"나머지 내분비선암",0,11,331753
27,"나머지암, 불분명한 암",0,6,331753
28,"림프종, 다발성골수종",0,11,331753
29,"백혈병(CLL 제외)",0,20,331753
30,"급성림프구성백혈병",0,13,331753
31,"급성골수성백혈병",0,7,331753
32,"만성골수성백혈병",0,0,331753
1,"구강암, 인두암",5,0,352977
2,"식도암",5,0,352977
3,"위암",5,0,352977
4,"결장암",5,0,352977
5,"직장암",5,0,352977
6,"간암",5,1,352977
7,"담낭암",5,0,352977
8,"췌장암",5,0,352977
9,"기관지암, 폐암",5,0,352977
10,"비강암, 후두암, 나머지암",5,0,352977
11,"뼈암",5,0,352977
12,"결합조직암",5,1,352977
13,"악성흑색종",5,0,352977
14,"비흑색종피부암(기저세포암)",5,0,352977
15,"비흑색종피부암(편평세포암)",5,0,352977
16,"유방암(여성)",5,0,352977
17,"유방암(남성)",5,0,352977
18,"난소암",5,0,352977
19,"난소암 외 여성생식기암",5,0,352977
20,"남성생식기암",5,1,352977
21,"방광암",5,0,352977
22,"신장암, 나머지 비뇨기계암",5,0,352977
23,"안암",5,0,352977
24,"뇌암, 신경계암",5,5,352977
25,"갑상선암",5,0,352977
26,"나머지 내분비선암",5,3,352977
27,"나머지암, 불분명한 암",5,1,352977
28,"림프종, 다발성골수종",5,5,352977
29,"백혈병(CLL 제외)",5,9,352977
30,"급성림프구성백혈병",5,8,352977
31,"급성골수성백혈병",5,0,352977
32,"만성골수성백혈병",5,0,352977
1,"구강암, 인두암",10,0,394294
2,"식도암",10,0,394294
3,"위암",10,0,394294
4,"결장암",10,1,394294
5,"직장암",10,0,394294
6,"간암",10,1,394294
7,"담낭암",10,0,394294
8,"췌장암",10,0,394294
9,"기관지암, 폐암",10,0,394294
10,"비강암, 후두암, 나머지암",10,0,394294
11,"뼈암",10,6,394294
12,"결합조직암",10,1,394294
13,"악성흑색종",10,1,394294
14,"비흑색종피부암(기저세포암)",10,1,394294
15,"비흑색종피부암(편평세포암)",10,1,394294
16,"유방암(여성)",10,0,394294
17,"유방암(남성)",10,0,394294
18,"난소암",10,0,394294
19,"난소암 외 여성생식기암",10,0,394294
20,"남성생식기암",10,1,394294
21,"방광암",10,0,394294
22,"신장암, 나머지 비뇨기계암",10,1,394294
23,"안암",10,0,394294
24,"뇌암, 신경계암",10,4,394294
25,"갑상선암",10,0,394294
26,"나머지 내분비선암",10,4,394294
27,"나머지암, 불분명한 암",10,2,394294
28,"림프종, 다발성골수종",10,8,394294
29,"백혈병(CLL 제외)",10,9,394294
30,"급성림프구성백혈병",10,4,394294
31,"급성골수성백혈병",10,5,394294
32,"만성골수성백혈병",10,0,394294
1,"구강암, 인두암",15,4,433496
2,"식도암",15,0,433496
3,"위암",15,2,433496
4,"결장암",15,0,433496
5,"직장암",15,2,433496
6,"간암",15,0,433496
7,"담낭암",15,0,433496
8,"췌장암",15,0,433496
9,"기관지암, 폐암",15,0,433496
10,"비강암, 후두암, 나머지암",15,4,433496
11,"뼈암",15,7,433496
12,"결합조직암",15,2,433496
13,"악성흑색종",15,1,433496
14,"비흑색종피부암(기저세포암)",15,1,433496
