"Code","Cancer","Age","Case","PY"
1,"구강암, 인두암",0,2,6122426
2,"식도암",0,0,6122426
3,"위암",0,0,6122426
4,"결장암",0,1,6122426
5,"직장암",0,0,6122426
6,"간암",0,36,6122426
7,"담낭암",0,0,6122426
8,"췌장암",0,1,6122426
9,"기관지암, 폐암",0,4,6122426
10,"비강암, 후두암, 나머지암",0,27,6122426
11,"뼈암",0,21,6122426
12,"결합조직암",0,67,6122426
13,"악성흑색종",0,3,6122426
14,"비흑색종피부암(기저세포암)",0,1,6122426
15,"비흑색종피부암(편평세포암)",0,1,6122426
16,"유방암(여성)",0,0,6122426
17,"유방암(남성)",0,0,6122426
18,"난소암",0,14,6122426
19,"난소암 외 여성생식기암",0,5,6122426
20,"남성생식기암",0,0,6122426
21,"방광암",0,4,6122426
22,"신장암, 나머지 비뇨기계암",0,77,6122426
23,"안암",0,87,6122426
24,"뇌암, 신경계암",0,141,6122426
25,"갑상선암",0,0,6122426
26,"나머지 내분비선암",0,117,6122426
27,"나머지암, 불분명한 암",0,49,6122426
28,"림프종, 다발성골수종",0,46,6122426
29,"백혈병(CLL 제외)",0,370,6122426
30,"급성림프구성백혈병",0,287,6122426
31,"급성골수성백혈병",0,107,6122426
32,"만성골수성백혈병",0,9,6122426
1,"구강암, 인두암",5,15,7790860
2,"식도암",5,0,7790860
3,"위암",5,1,7790860
4,"결장암",5,1,7790860
5,"직장암",5,0,7790860
6,"간암",5,5,7790860
7,"담낭암",5,0,7790860
8,"췌장암",5,2,7790860
9,"기관지암, 폐암",5,1,7790860
10,"비강암, 후두암, 나머지암",5,9,7790860
11,"뼈암",5,33,7790860
12,"결합조직암",5,28,7790860
13,"악성흑색종",5,1,7790860
14,"비흑색종피부암(기저세포암)",5,4,7790860
15,"비흑색종피부암(편평세포암)",5,4,7790860
16,"유방암(여성)",5,1,7790860
17,"유방암(남성)",5,0,7790860
18,"난소암",5,46,7790860
19,"난소암 외 여성생식기암",5,3,7790860
20,"남성생식기암",5,0,7790860
21,"방광암",5,1,7790860
22,"신장암, 나머지 비뇨기계암",5,17,7790860
23,"안암",5,3,7790860
24,"뇌암, 신경계암",5,114,7790860
25,"갑상선암",5,5,7790860
26,"나머지 내분비선암",5,12,7790860
27,"나머지암, 불분명한 암",5,25,7790860
28,"림프종, 다발성골수종",5,57,7790860
29,"백혈병(CLL 제외)",5,226,7790860
30,"급성림프구성백혈병",5,168,7790860
31,"급성골수성백혈병",5,60,7790860
32,"만성골수성백혈병",5,7,7790860
1,"구강암, 인두암",10,20,8179255
2,"식도암",10,0,8179255
3,"위암",10,3,8179255
4,"결장암",10,4,8179255
5,"직장암",10,0,8179255
6,"간암",10,8,8179255
7,"담낭암",10,0,8179255
8,"췌장암",10,5,8179255
9,"기관지암, 폐암",10,1,8179255
10,"비강암, 후두암, 나머지암",10,7,8179255
11,"뼈암",10,111,8179255
12,"결합조직암",10,38,8179255
13,"악성흑색종",10,2,8179255
14,"비흑색종피부암(기저세포암)",10,14,8179255
15,"비흑색종피부암(편평세포암)",10,14,8179255
16,"유방암(여성)",10,3,8179255
17,"유방암(남성)",10,0,8179255
18,"난소암",10,78,8179255
19,"난소암 외 여성생식기암",10,6,8179255
20,"남성생식기암",10,0,8179255
21,"방광암",10,2,8179255
22,"신장암, 나머지 비뇨기계암",10,3,8179255
23,"안암",10,0,8179255
24,"뇌암, 신경계암",10,144,8179255
25,"갑상선암",10,64,8179255
26,"나머지 내분비선암",10,15,8179255
27,"나머지암, 불분명한 암",10,38,8179255
28,"림프종, 다발성골수종",10,62,8179255
29,"백혈병(CLL 제외)",10,227,8179255
30,"급성림프구성백혈병",10,128,8179255
31,"급성골수성백혈병",10,80,8179255
32,"만성골수성백혈병",10,8,8179255
1,"구강암, 인두암",15,23,7590641
2,"식도암",15,1,7590641
3,"위암",15,15,7590641
4,"결장암",15,11,7590641
5,"직장암",15,7,7590641
6,"간암",15,11,7590641
7,"담낭암",15,2,7590641
8,"췌장암",15,7,7590641
9,"기관지암, 폐암",15,11,7590641
10,"비강암, 후두암, 나머지암",15,14,7590641
11,"뼈암",15,70,7590641
12,"결합조직암",15,46,7590641
13,"악성흑색종",15,2,7590641
14,"비흑색종피부암(기저세포암)",15,13,7590641
15,"비흑색종피부암(편평세포암)",15,13,7590641
16,"유방암(여성)",15,12,7590641
17,"유방암(남성)",15,0,7590641
18,"난소암",15,158,7590641
19,"난소암 외 여성생식기암",15,13,7590641
20,"남성생식기암",15,0,7590641
21,"방광암",15,0,7590641
22,"신장암, 나머지 비뇨기계암",15,7,7590641
23,"안암",15,0,7590641
24,"뇌암, 신경계암",15,116,7590641
25,"갑상선암",15,368,7590641
26,"나머지 내분비선암",15,4,7590641
27,"나머지암, 불분명한 암",15,61,7590641
28,"림프종, 다발성골수종",15,81,7590641
29,"백혈병(CLL 제외)",15,200,7590641
30,"급성림프구성백혈병",15,77,7590641
31,"급성골수성백혈병",15,94,7590641
32,"만성골수성백혈병",15,22,7590641
1,"구강암, 인두암",20,51,9127892
2,"식도암",20,1,9127892
3,"위암",20,151,9127892
4,"결장암",20,40,9127892
5,"직장암",20,37,9127892
6,"간암",20,32,9127892
7,"담낭암",20,2,9127892
8,"췌장암",20,9,9127892
9,"기관지암, 폐암",20,27,9127892
10,"비강암, 후두암, 나머지암",20,21,9127892
11,"뼈암",20,48,9127892
12,"결합조직암",20,58,9127892
13,"악성흑색종",20,9,9127892
14,"비흑색종피부암(기저세포암)",20,26,9127892
15,"비흑색종피부암(편평세포암)",20,26,9127892
16,"유방암(여성)",20,141,9127892
17,"유방암(남성)",20,0,9127892
18,"난소암",20,244,9127892
19,"난소암 외 여성생식기암",20,133,9127892
20,"남성생식기암",20,0,9127892
21,"방광암",20,6,9127892
22,"신장암, 나머지 비뇨기계암",20,21,9127892
23,"안암",20,3,9127892
24,"뇌암, 신경계암",20,88,9127892
25,"갑상선암",20,1295,9127892
26,"나머지 내분비선암",20,14,9127892
27,"나머지암, 불분명한 암",20,91,9127892
28,"림프종, 다발성골수종",20,145,9127892
29,"백혈병(CLL 제외)",20,155,9127892
30,"급성림프구성백혈병",20,52,9127892
31,"급성골수성백혈병",20,71,9127892
32,"만성골수성백혈병",20,25,9127892
1,"구강암, 인두암",25,79,9662183
2,"식도암",25,1,9662183
3,"위암",25,474,9662183
4,"결장암",25,84,9662183
5,"직장암",25,74,9662183
6,"간암",25,55,9662183
7,"담낭암",25,14,9662183
8,"췌장암",25,23,9662183
9,"기관지암, 폐암",25,49,9662183
10,"비강암, 후두암, 나머지암",25,36,9662183
11,"뼈암",25,49,9662183
12,"결합조직암",25,79,9662183
13,"악성흑색종",25,12,9662183
14,"비흑색종피부암(기저세포암)",25,47,9662183
15,"비흑색종피부암(편평세포암)",25,47,9662183
16,"유방암(여성)",25,728,9662183
17,"유방암(남성)",25,0,9662183
18,"난소암",25,275,9662183
19,"난소암 외 여성생식기암",25,682,9662183
20,"남성생식기암",25,0,9662183
21,"방광암",25,17,9662183
22,"신장암, 나머지 비뇨기계암",25,48,9662183
23,"안암",25,6,9662183
24,"뇌암, 신경계암",25,159,9662183
25,"갑상선암",25,2691,9662183
26,"나머지 내분비선암",25,11,9662183
27,"나머지암, 불분명한 암",25,156,9662183
28,"림프종, 다발성골수종",25,209,9662183
29,"백혈병(CLL 제외)",25,215,9662183
30,"급성림프구성백혈병",25,62,9662183
31,"급성골수성백혈병",25,107,9662183
32,"만성골수성백혈병",25,33,9662183
1,"구강암, 인두암",30,126,10790890
2,"식도암",30,1,10790890
3,"위암",30,1250,10790890
4,"결장암",30,262,10790890
5,"직장암",30,208,10790890
6,"간암",30,157,10790890
7,"담낭암",30,33,10790890
8,"췌장암",30,32,10790890
9,"기관지암, 폐암",30,157,10790890
10,"비강암, 후두암, 나머지암",30,50,10790890
11,"뼈암",30,52,10790890
12,"결합조직암",30,95,10790890
13,"악성흑색종",30,25,10790890
14,"비흑색종피부암(기저세포암)",30,84,10790890
15,"비흑색종피부암(편평세포암)",30,84,10790890
16,"유방암(여성)",30,2639,10790890
17,"유방암(남성)",30,0,10790890
18,"난소암",30,372,10790890
19,"난소암 외 여성생식기암",30,1523,10790890
20,"남성생식기암",30,0,10790890
21,"방광암",30,26,10790890
22,"신장암, 나머지 비뇨기계암",30,96,10790890
23,"안암",30,7,10790890
24,"뇌암, 신경계암",30,176,10790890
25,"갑상선암",30,4937,10790890
26,"나머지 내분비선암",30,27,10790890
27,"나머지암, 불분명한 암",30,165,10790890
28,"림프종, 다발성골수종",30,292,10790890
29,"백혈병(CLL 제외)",30,256,10790890
30,"급성림프구성백혈병",30,70,10790890
31,"급성골수성백혈병",30,118,10790890
32,"만성골수성백혈병",30,53,10790890
1,"구강암, 인두암",35,152,10859221
2,"식도암",35,9,10859221
3,"위암",35,1956,10859221
4,"결장암",35,443,10859221
5,"직장암",35,446,10859221
6,"간암",35,294,10859221
7,"담낭암",35,99,10859221
8,"췌장암",35,70,10859221
9,"기관지암, 폐암",35,388,10859221
10,"비강암, 후두암, 나머지암",35,78,10859221
11,"뼈암",35,48,10859221
12,"결합조직암",35,94,10859221
13,"악성흑색종",35,35,10859221
14,"비흑색종피부암(기저세포암)",35,99,10859221
15,"비흑색종피부암(편평세포암)",35,99,10859221
16,"유방암(여성)",35,5262,10859221
17,"유방암(남성)",35,0,10859221
18,"난소암",35,507,10859221
19,"난소암 외 여성생식기암",35,2437,10859221
20,"남성생식기암",35,0,10859221
21,"방광암",35,51,10859221
22,"신장암, 나머지 비뇨기계암",35,155,10859221
23,"안암",35,8,10859221
24,"뇌암, 신경계암",35,231,10859221
25,"갑상선암",35,6675,10859221
26,"나머지 내분비선암",35,26,10859221
27,"나머지암, 불분명한 암",35,220,10859221
28,"림프종, 다발성골수종",35,375,10859221
29,"백혈병(CLL 제외)",35,298,10859221
30,"급성림프구성백혈병",35,74,10859221
31,"급성골수성백혈병",35,152,10859221
32,"만성골수성백혈병",35,53,10859221
1,"구강암, 인두암",40,234,10542705
2,"식도암",40,27,10542705
3,"위암",40,2818,10542705
4,"결장암",40,842,10542705
5,"직장암",40,840,10542705
6,"간암",40,655,10542705
7,"담낭암",40,175,10542705
8,"췌장암",40,159,10542705
9,"기관지암, 폐암",40,643,10542705
10,"비강암, 후두암, 나머지암",40,88,10542705
11,"뼈암",40,68,10542705
12,"결합조직암",40,120,10542705
13,"악성흑색종",40,56,10542705
14,"비흑색종피부암(기저세포암)",40,119,10542705
15,"비흑색종피부암(편평세포암)",40,119,10542705
16,"유방암(여성)",40,9067,10542705
17,"유방암(남성)",40,0,10542705
18,"난소암",40,768,10542705
19,"난소암 외 여성생식기암",40,3623,10542705
20,"남성생식기암",40,0,10542705
21,"방광암",40,66,10542705
22,"신장암, 나머지 비뇨기계암",40,285,10542705
23,"안암",40,15,10542705
24,"뇌암, 신경계암",40,240,10542705
25,"갑상선암",40,8647,10542705
26,"나머지 내분비선암",40,27,10542705
27,"나머지암, 불분명한 암",40,382,10542705
28,"림프종, 다발성골수종",40,497,10542705
29,"백혈병(CLL 제외)",40,396,10542705
30,"급성림프구성백혈병",40,78,10542705
31,"급성골수성백혈병",40,218,10542705
32,"만성골수성백혈병",40,72,10542705
1,"구강암, 인두암",45,302,9778195
2,"식도암",45,38,9778195
3,"위암",45,3325,9778195
4,"결장암",45,1411,9778195
5,"직장암",45,1319,9778195
6,"간암",45,1158,9778195
7,"담낭암",45,343,9778195
8,"췌장암",45,319,9778195
9,"기관지암, 폐암",45,1211,9778195
10,"비강암, 후두암, 나머지암",45,123,9778195
11,"뼈암",45,60,9778195
12,"결합조직암",45,154,9778195
13,"악성흑색종",45,69,9778195
14,"비흑색종피부암(기저세포암)",45,201,9778195
15,"비흑색종피부암(편평세포암)",45,201,9778195
16,"유방암(여성)",45,11152,9778195
17,"유방암(남성)",45,0,9778195
18,"난소암",45,1171,9778195
19,"난소암 외 여성생식기암",45,4201,9778195
20,"남성생식기암",45,0,9778195
21,"방광암",45,129,9778195
22,"신장암, 나머지 비뇨기계암",45,386,9778195
23,"안암",45,16,9778195
24,"뇌암, 신경계암",45,269,9778195
25,"갑상선암",45,10421,9778195
26,"나머지 내분비선암",45,37,9778195
27,"나머지암, 불분명한 암",45,463,9778195
28,"림프종, 다발성골수종",45,672,9778195
29,"백혈병(CLL 제외)",45,381,9778195
30,"급성림프구성백혈병",45,82,9778195
31,"급성골수성백혈병",45,200,9778195
32,"만성골수성백혈병",45,85,9778195
1,"구강암, 인두암",50,296,7160051
2,"식도암",50,47,7160051
3,"위암",50,3205,7160051
4,"결장암",50,1745,7160051
5,"직장암",50,1615,7160051
6,"간암",50,1571,7160051
7,"담낭암",50,542,7160051
8,"췌장암",50,396,7160051
9,"기관지암, 폐암",50,1501,7160051
10,"비강암, 후두암, 나머지암",50,151,7160051
11,"뼈암",50,63,7160051
12,"결합조직암",50,115,7160051
13,"악성흑색종",50,76,7160051
14,"비흑색종피부암(기저세포암)",50,270,7160051
15,"비흑색종피부암(편평세포암)",50,270,7160051
