"Code","Cancer","Age","Case","PY"
1,"구강암, 인두암",0,4,6655812
2,"식도암",0,0,6655812
3,"위암",0,0,6655812
4,"결장암",0,0,6655812
5,"직장암",0,0,6655812
6,"간암",0,42,6655812
7,"담낭암",0,0,6655812
8,"췌장암",0,1,6655812
9,"기관지암, 폐암",0,1,6655812
10,"비강암, 후두암, 나머지암",0,27,6655812
11,"뼈암",0,28,6655812
12,"결합조직암",0,73,6655812
13,"악성흑색종",0,0,6655812
14,"비흑색종피부암(기저세포암)",0,6,6655812
15,"비흑색종피부암(편평세포암)",0,6,6655812
16,"유방암(여성)",0,0,6655812
17,"유방암(남성)",0,0,6655812
18,"난소암",0,0,6655812
19,"난소암 외 여성생식기암",0,0,6655812
20,"남성생식기암",0,71,6655812
21,"방광암",0,7,6655812
22,"신장암, 나머지 비뇨기계암",0,71,6655812
23,"안암",0,101,6655812
24,"뇌암, 신경계암",0,134,6655812
25,"갑상선암",0,0,6655812
26,"나머지 내분비선암",0,143,6655812
27,"나머지암, 불분명한 암",0,61,6655812
28,"림프종, 다발성골수종",0,98,6655812
29,"백혈병(CLL 제외)",0,455,6655812
30,"급성림프구성백혈병",0,335,6655812
31,"급성골수성백혈병",0,118,6655812
32,"만성골수성백혈병",0,21,6655812
1,"구강암, 인두암",5,6,8598995
2,"식도암",5,0,8598995
3,"위암",5,1,8598995
4,"결장암",5,1,8598995
5,"직장암",5,0,8598995
6,"간암",5,12,8598995
7,"담낭암",5,0,8598995
8,"췌장암",5,1,8598995
9,"기관지암, 폐암",5,1,8598995
10,"비강암, 후두암, 나머지암",5,8,8598995
11,"뼈암",5,37,8598995
12,"결합조직암",5,31,8598995
13,"악성흑색종",5,1,8598995
14,"비흑색종피부암(기저세포암)",5,4,8598995
15,"비흑색종피부암(편평세포암)",5,4,8598995
16,"유방암(여성)",5,0,8598995
17,"유방암(남성)",5,0,8598995
18,"난소암",5,0,8598995
19,"난소암 외 여성생식기암",5,0,8598995
20,"남성생식기암",5,4,8598995
21,"방광암",5,1,8598995
22,"신장암, 나머지 비뇨기계암",5,23,8598995
23,"안암",5,7,8598995
24,"뇌암, 신경계암",5,188,8598995
25,"갑상선암",5,7,8598995
26,"나머지 내분비선암",5,46,8598995
27,"나머지암, 불분명한 암",5,41,8598995
28,"림프종, 다발성골수종",5,123,8598995
29,"백혈병(CLL 제외)",5,325,8598995
30,"급성림프구성백혈병",5,230,8598995
31,"급성골수성백혈병",5,96,8598995
32,"만성골수성백혈병",5,16,8598995
1,"구강암, 인두암",10,21,9263734
2,"식도암",10,0,9263734
3,"위암",10,5,9263734
4,"결장암",10,5,9263734
5,"직장암",10,2,9263734
6,"간암",10,10,9263734
7,"담낭암",10,0,9263734
8,"췌장암",10,1,9263734
9,"기관지암, 폐암",10,8,9263734
10,"비강암, 후두암, 나머지암",10,13,9263734
11,"뼈암",10,142,9263734
12,"결합조직암",10,40,9263734
13,"악성흑색종",10,2,9263734
14,"비흑색종피부암(기저세포암)",10,9,9263734
15,"비흑색종피부암(편평세포암)",10,9,9263734
16,"유방암(여성)",10,0,9263734
17,"유방암(남성)",10,0,9263734
18,"난소암",10,0,9263734
19,"난소암 외 여성생식기암",10,0,9263734
20,"남성생식기암",10,10,9263734
21,"방광암",10,3,9263734
22,"신장암, 나머지 비뇨기계암",10,13,9263734
23,"안암",10,1,9263734
24,"뇌암, 신경계암",10,185,9263734
25,"갑상선암",10,14,9263734
26,"나머지 내분비선암",10,63,9263734
27,"나머지암, 불분명한 암",10,45,9263734
28,"림프종, 다발성골수종",10,158,9263734
29,"백혈병(CLL 제외)",10,317,9263734
30,"급성림프구성백혈병",10,193,9263734
31,"급성골수성백혈병",10,99,9263734
32,"만성골수성백혈병",10,23,9263734
1,"구강암, 인두암",15,33,8375867
2,"식도암",15,0,8375867
3,"위암",15,14,8375867
4,"결장암",15,20,8375867
5,"직장암",15,7,8375867
